ID client,Nom,Edat,Gènere,Perfil de viatge,Preferències comercials,Interacció habitual,Historial d’usos
0070,Godofredo Robles,57,M,Negocis,Cuina ràpida,Ignora promocions,"3 consultes a restaurants, 4 consultes a cafeteries"
0071,Marisa Juárez,30,F,Família,Moda,Accepta ofertes de menjar,"5 consultes a cafeteries, 2 consultes a restaurants, 3 consultes a vehicles"
0072,Jordi Porras,60,M,Negocis,"Premsa i llibres, Moda, Mediterrània",Segueix suggeriments personalitzats,4 consultes a restaurants
0073,Nando Tena,54,M,Família,"Cuina ràpida, Cafeteria",Respon a ofertes de llibres,"5 consultes a llibres, 5 consultes a botigues, 4 consultes a vehicles"
0074,Edgardo Roldan,33,M,Família,"Premsa i llibres, Cuina ràpida, Perfumeria",Segueix suggeriments personalitzats,4 consultes a cafeteries
0075,Gonzalo Duque,36,M,Altres,"Productes naturals, Cafeteria, Cuina italiana",Ignora promocions,4 consultes a restaurants
0076,Dorotea Espejo,50,F,Turisme,Premsa i llibres,Segueix suggeriments personalitzats,2 consultes a llibres
0077,Aroa Cerdán,31,F,Turisme,"Cafeteria, Premsa i llibres",Respon a ofertes de llibres,2 consultes a llibres
0078,Cristian Sarabia,47,M,Família,"Cafeteria, Productes naturals",Segueix suggeriments personalitzats,1 consulta a botigues
0079,Florencia Franco,46,F,Negocis,"Perfumeria, Cuina ràpida",Segueix suggeriments personalitzats,"3 consultes a cafeteries, 4 consultes a llibres"
0080,Filomena Agustí,66,F,Turisme,"Premsa i llibres, Moda, Productes naturals",Respon a ofertes de llibres,"1 consulta a cafeteries, 3 consultes a botigues, 5 consultes a llibres"
0081,Constanza Moya,38,F,Turisme,"Cafeteria, Premsa i llibres",Accepta ofertes de menjar,5 consultes a llibres
0082,Natalio Uría,44,M,Família,"Cuina italiana, Productes naturals, Cuina ràpida",Només consulta horaris i ubicacions,"1 consulta a llibres, 5 consultes a vehicles"
0083,José Ángel Porras,20,M,Negocis,"Perfumeria, Cafeteria, Moda",Respon a ofertes de llibres,"3 consultes a botigues, 2 consultes a vehicles, 3 consultes a restaurants"
0084,Coral Montesinos,70,F,Negocis,Mediterrània,Accepta ofertes de menjar,"4 consultes a botigues, 3 consultes a restaurants"
0085,María Jesús Collado,41,F,Família,Cafeteria,Respon a ofertes de llibres,"2 consultes a llibres, 1 consulta a restaurants, 3 consultes a cafeteries"
0086,Amílcar Busquets,29,M,Altres,"Perfumeria, Cuina italiana",Accepta ofertes de menjar,"4 consultes a cafeteries, 2 consultes a vehicles, 5 consultes a restaurants"
0087,Gustavo Calderon,57,M,Altres,Perfumeria,Només consulta horaris i ubicacions,"1 consulta a cafeteries, 4 consultes a restaurants"
0088,Flavio Barrena,36,M,Família,"Cafeteria, Moda",Ignora promocions,"4 consultes a llibres, 5 consultes a restaurants"
0089,Eutimio Iniesta,22,M,Negocis,Mediterrània,Només consulta horaris i ubicacions,"3 consultes a botigues, 2 consultes a llibres"
0090,Verónica Juárez,47,F,Turisme,"Productes naturals, Cuina italiana, Moda",Segueix suggeriments personalitzats,"1 consulta a botigues, 1 consulta a llibres, 4 consultes a cafeteries"
0091,Natividad Llopis,64,F,Altres,Moda,Ignora promocions,"2 consultes a restaurants, 1 consulta a vehicles"
0092,Emelina Gonzalo,36,F,Turisme,"Cuina ràpida, Cafeteria",Ignora promocions,"1 consulta a botigues, 1 consulta a vehicles, 4 consultes a cafeteries"
0093,Miriam Cabo,59,F,Negocis,"Mediterrània, Productes naturals, Moda",Respon a ofertes de llibres,5 consultes a botigues
0094,Agustín Vall,28,M,Negocis,"Cuina italiana, Perfumeria",Accepta ofertes de menjar,5 consultes a vehicles
0095,Cruz Escamilla,71,F,Família,"Cafeteria, Premsa i llibres, Mediterrània",Ignora promocions,"3 consultes a botigues, 5 consultes a cafeteries, 5 consultes a restaurants"
0096,Narciso Pablo,40,M,Negocis,"Cuina ràpida, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a llibres, 5 consultes a botigues, 5 consultes a vehicles"
0097,Elba Beltrán,41,F,Altres,"Perfumeria, Premsa i llibres",Ignora promocions,"2 consultes a botigues, 1 consulta a vehicles"
0098,Flor Madrigal,74,F,Turisme,"Premsa i llibres, Cafeteria, Cuina ràpida",Ignora promocions,"3 consultes a botigues, 3 consultes a vehicles"
0099,Atilio Jove,23,M,Negocis,"Moda, Cuina ràpida",Ignora promocions,"3 consultes a llibres, 2 consultes a vehicles"
0100,Ángel Céspedes,22,M,Família,Moda,Només consulta horaris i ubicacions,"4 consultes a llibres, 3 consultes a restaurants"
0101,Pablo Somoza,27,M,Negocis,"Cuina italiana, Cuina ràpida",Ignora promocions,"5 consultes a botigues, 4 consultes a vehicles"
0102,Cristóbal Diez,40,M,Família,"Moda, Cuina italiana, Productes naturals",Segueix suggeriments personalitzats,"3 consultes a botigues, 3 consultes a vehicles"
0103,Emiliano Canet,45,M,Família,Cafeteria,Ignora promocions,"1 consulta a vehicles, 2 consultes a cafeteries"
0104,Leonel Vaquero,55,M,Turisme,"Perfumeria, Mediterrània, Cafeteria",Accepta ofertes de menjar,"1 consulta a cafeteries, 2 consultes a llibres, 5 consultes a restaurants"
0105,Isaura Bolaños,43,F,Família,"Perfumeria, Mediterrània",Segueix suggeriments personalitzats,"2 consultes a cafeteries, 5 consultes a restaurants"
0106,Juanito Castrillo,37,M,Família,Moda,Només consulta horaris i ubicacions,2 consultes a restaurants
0107,Dimas Ayllón,32,M,Altres,"Moda, Productes naturals, Mediterrània",Només consulta horaris i ubicacions,"2 consultes a botigues, 1 consulta a vehicles"
0108,Simón Manuel,59,M,Família,"Perfumeria, Productes naturals",Respon a ofertes de llibres,"5 consultes a vehicles, 2 consultes a botigues, 2 consultes a restaurants"
0109,Aránzazu Saavedra,22,F,Turisme,"Moda, Productes naturals",Accepta ofertes de menjar,5 consultes a llibres
0110,María Manuela Paniagua,46,F,Altres,Moda,Segueix suggeriments personalitzats,"1 consulta a restaurants, 3 consultes a llibres"
0111,Ismael Cantero,55,M,Negocis,Productes naturals,Ignora promocions,"2 consultes a botigues, 4 consultes a cafeteries"
0112,Victor Manuel Sastre,31,M,Altres,"Premsa i llibres, Cafeteria",Respon a ofertes de llibres,"5 consultes a restaurants, 3 consultes a llibres"
0113,Pastor Larrañaga,23,M,Família,"Cuina ràpida, Premsa i llibres",Ignora promocions,"1 consulta a restaurants, 3 consultes a llibres, 4 consultes a cafeteries"
0114,Gerardo Iñiguez,75,M,Negocis,Moda,Només consulta horaris i ubicacions,"5 consultes a restaurants, 2 consultes a vehicles"
0115,Gracia Galindo,52,F,Altres,Moda,Accepta ofertes de menjar,"3 consultes a botigues, 1 consulta a llibres, 4 consultes a vehicles"
0116,Rosalía Cañas,43,F,Altres,Cafeteria,Accepta ofertes de menjar,"3 consultes a restaurants, 5 consultes a botigues"
0117,Inocencio Casado,27,M,Turisme,Cafeteria,Segueix suggeriments personalitzats,4 consultes a botigues
0118,Bautista Llamas,73,M,Família,Cuina ràpida,Només consulta horaris i ubicacions,5 consultes a restaurants
0119,Ángel Rovira,58,M,Turisme,"Cuina ràpida, Premsa i llibres",Segueix suggeriments personalitzats,4 consultes a cafeteries
0120,Donato Villa,33,M,Turisme,Perfumeria,Segueix suggeriments personalitzats,5 consultes a cafeteries
0121,Augusto Arcos,67,M,Altres,"Cafeteria, Cuina ràpida, Mediterrània",Només consulta horaris i ubicacions,"4 consultes a vehicles, 5 consultes a cafeteries, 4 consultes a restaurants"
0122,Gonzalo Barberá,23,M,Negocis,Cafeteria,Accepta ofertes de menjar,4 consultes a vehicles
0123,Samuel Jordá,54,M,Família,"Mediterrània, Cuina ràpida, Premsa i llibres",Segueix suggeriments personalitzats,"2 consultes a restaurants, 3 consultes a botigues"
0124,Gerónimo Cepeda,27,M,Família,Premsa i llibres,Segueix suggeriments personalitzats,2 consultes a vehicles
0125,Evita Briones,26,F,Altres,Cuina ràpida,Accepta ofertes de menjar,"5 consultes a llibres, 1 consulta a botigues"
0126,Marisa Prada,58,F,Família,"Cuina ràpida, Perfumeria",Ignora promocions,"3 consultes a vehicles, 3 consultes a restaurants, 1 consulta a cafeteries"
0127,Pilar Viñas,36,F,Família,Mediterrània,Només consulta horaris i ubicacions,2 consultes a vehicles
0128,Leoncio Bustamante,65,M,Família,"Productes naturals, Perfumeria",Ignora promocions,"2 consultes a llibres, 3 consultes a restaurants"
0129,Álvaro Aguilera,68,M,Turisme,"Perfumeria, Cafeteria",Accepta ofertes de menjar,"4 consultes a llibres, 2 consultes a vehicles, 2 consultes a botigues"
0130,Clemente Ballesteros,25,M,Altres,"Cafeteria, Cuina italiana, Moda",Només consulta horaris i ubicacions,"1 consulta a restaurants, 4 consultes a botigues"
0131,Eusebio Tomas,59,M,Família,Cuina ràpida,Segueix suggeriments personalitzats,4 consultes a cafeteries
0132,Pancho Casas,51,M,Família,"Mediterrània, Cafeteria, Moda",Respon a ofertes de llibres,"1 consulta a botigues, 5 consultes a cafeteries, 3 consultes a vehicles"
0133,Mamen Monreal,43,F,Negocis,"Productes naturals, Perfumeria",Segueix suggeriments personalitzats,"5 consultes a restaurants, 3 consultes a vehicles, 1 consulta a cafeteries"
0134,Alejandro Cañellas,74,M,Família,"Cuina italiana, Cafeteria",Respon a ofertes de llibres,"1 consulta a cafeteries, 3 consultes a restaurants, 4 consultes a llibres"
0135,Leocadio Arnal,29,M,Família,"Moda, Cuina ràpida",Segueix suggeriments personalitzats,"4 consultes a cafeteries, 1 consulta a llibres, 5 consultes a botigues"
0136,María Cristina Romero,54,F,Negocis,"Cuina italiana, Perfumeria, Moda",Ignora promocions,"1 consulta a vehicles, 2 consultes a restaurants, 1 consulta a cafeteries"
0137,Clarisa Mascaró,41,F,Família,"Cuina ràpida, Cuina italiana, Moda",Respon a ofertes de llibres,4 consultes a llibres
0138,Nuria Barreda,40,F,Altres,"Cuina italiana, Mediterrània, Cafeteria",Ignora promocions,"5 consultes a botigues, 4 consultes a llibres, 2 consultes a restaurants"
0139,Goyo Pujol,36,M,Negocis,"Moda, Cuina italiana, Cafeteria",Segueix suggeriments personalitzats,3 consultes a cafeteries
0140,Áurea Blanca,38,F,Negocis,"Productes naturals, Premsa i llibres",Accepta ofertes de menjar,"2 consultes a vehicles, 5 consultes a cafeteries"
0141,Abril Mayo,34,F,Família,Perfumeria,Només consulta horaris i ubicacions,5 consultes a restaurants
0142,Pacífica Alcalá,46,F,Família,"Productes naturals, Cafeteria",Accepta ofertes de menjar,"2 consultes a vehicles, 1 consulta a cafeteries"
0143,Soledad Quintana,54,F,Altres,"Mediterrània, Cuina italiana",Ignora promocions,1 consulta a vehicles
0144,Atilio Carranza,66,M,Turisme,"Perfumeria, Mediterrània, Moda",Segueix suggeriments personalitzats,1 consulta a restaurants
0145,Hipólito Peña,22,M,Turisme,"Productes naturals, Perfumeria",Respon a ofertes de llibres,"1 consulta a botigues, 4 consultes a llibres"
0146,Ascensión Cabañas,52,F,Negocis,Productes naturals,Ignora promocions,3 consultes a cafeteries
0147,Amando Rocamora,23,M,Altres,"Mediterrània, Cafeteria",Respon a ofertes de llibres,"2 consultes a llibres, 5 consultes a restaurants"
0148,Fátima Bastida,56,F,Altres,"Cafeteria, Productes naturals, Cuina ràpida",Només consulta horaris i ubicacions,1 consulta a llibres
0149,Zacarías Castillo,57,M,Turisme,"Cuina italiana, Premsa i llibres, Productes naturals",Només consulta horaris i ubicacions,4 consultes a llibres
0150,Ezequiel Campillo,54,M,Família,Productes naturals,Ignora promocions,"3 consultes a llibres, 3 consultes a cafeteries"
0151,Laura Rivas,58,F,Altres,"Productes naturals, Mediterrània",Segueix suggeriments personalitzats,1 consulta a vehicles
0152,Plácido Vega,25,M,Família,Cafeteria,Respon a ofertes de llibres,4 consultes a restaurants
0153,Teodosio Caro,53,M,Turisme,"Perfumeria, Moda, Premsa i llibres",Només consulta horaris i ubicacions,"2 consultes a llibres, 5 consultes a cafeteries"
0154,Prudencio Saldaña,59,M,Família,"Cuina italiana, Moda",Accepta ofertes de menjar,3 consultes a cafeteries
0155,Vito Aparicio,30,M,Negocis,Premsa i llibres,Ignora promocions,"2 consultes a botigues, 2 consultes a vehicles, 2 consultes a restaurants"
0156,Lucio Mateu,28,M,Negocis,"Productes naturals, Cafeteria",Només consulta horaris i ubicacions,2 consultes a restaurants
0157,Adelina Sáenz,41,F,Família,Cuina ràpida,Respon a ofertes de llibres,"5 consultes a cafeteries, 1 consulta a restaurants, 1 consulta a llibres"
0158,Desiderio Benavente,45,M,Negocis,Cuina ràpida,Segueix suggeriments personalitzats,4 consultes a vehicles
0159,Ximena Pomares,43,F,Altres,"Cuina italiana, Perfumeria, Cafeteria",Ignora promocions,"1 consulta a llibres, 1 consulta a restaurants"
0160,Osvaldo Riba,60,M,Negocis,Premsa i llibres,Només consulta horaris i ubicacions,"2 consultes a restaurants, 1 consulta a vehicles, 2 consultes a botigues"
0161,Jovita Sans,26,F,Negocis,"Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,5 consultes a botigues
0162,Carina Piñeiro,66,F,Turisme,"Moda, Productes naturals",Respon a ofertes de llibres,"1 consulta a vehicles, 4 consultes a cafeteries"
0163,Natalia Chacón,53,F,Turisme,Perfumeria,Respon a ofertes de llibres,"1 consulta a restaurants, 3 consultes a vehicles, 5 consultes a llibres"
0164,Haydée Barrio,57,F,Família,Mediterrània,Només consulta horaris i ubicacions,4 consultes a llibres
0165,Reinaldo Medina,59,M,Turisme,"Premsa i llibres, Cafeteria, Mediterrània",Només consulta horaris i ubicacions,"1 consulta a botigues, 4 consultes a restaurants, 5 consultes a llibres"
0166,Eustaquio Lledó,42,M,Negocis,"Mediterrània, Productes naturals",Ignora promocions,"4 consultes a cafeteries, 5 consultes a restaurants"
0167,Mirta Salmerón,37,F,Turisme,"Cafeteria, Cuina italiana",Accepta ofertes de menjar,4 consultes a vehicles
0168,Gastón Castañeda,60,M,Família,"Productes naturals, Cafeteria",Només consulta horaris i ubicacions,"4 consultes a llibres, 5 consultes a vehicles, 4 consultes a botigues"
0169,Bautista Milla,56,M,Turisme,Cafeteria,Segueix suggeriments personalitzats,"5 consultes a vehicles, 3 consultes a llibres"
0170,Martin Tapia,19,M,Família,"Mediterrània, Productes naturals",Només consulta horaris i ubicacions,2 consultes a llibres
0171,Ibán Godoy,22,M,Família,"Productes naturals, Cuina italiana",Segueix suggeriments personalitzats,3 consultes a restaurants
0172,Sigfrido Adán,73,M,Altres,"Perfumeria, Mediterrània, Cuina italiana",Només consulta horaris i ubicacions,"2 consultes a vehicles, 1 consulta a botigues"
0173,Sebastian Galiano,47,M,Altres,"Cuina italiana, Perfumeria",Ignora promocions,4 consultes a restaurants
0174,Cándido Mariño,22,M,Família,"Premsa i llibres, Mediterrània",Accepta ofertes de menjar,"4 consultes a llibres, 5 consultes a botigues"
0175,Constanza Bermúdez,40,F,Negocis,Cuina ràpida,Ignora promocions,"3 consultes a vehicles, 2 consultes a cafeteries, 4 consultes a restaurants"
0176,Ulises Estévez,36,M,Turisme,"Cuina ràpida, Moda, Perfumeria",Només consulta horaris i ubicacions,"4 consultes a llibres, 4 consultes a cafeteries, 5 consultes a restaurants"
0177,Julián Esteve,54,M,Família,"Cafeteria, Productes naturals, Mediterrània",Segueix suggeriments personalitzats,"5 consultes a vehicles, 4 consultes a botigues, 2 consultes a llibres"
0178,Coral Giralt,57,F,Altres,Cuina italiana,Accepta ofertes de menjar,"1 consulta a cafeteries, 5 consultes a restaurants"
0179,Sigfrido Serra,67,M,Altres,"Productes naturals, Perfumeria",Només consulta horaris i ubicacions,"3 consultes a restaurants, 5 consultes a llibres"
0180,Salud Álvaro,65,F,Família,Cuina italiana,Accepta ofertes de menjar,"1 consulta a vehicles, 4 consultes a botigues"
0181,Rita Lerma,34,F,Turisme,"Cuina italiana, Cuina ràpida",Ignora promocions,"5 consultes a llibres, 5 consultes a cafeteries"
0182,Isaac Palomino,56,M,Família,"Perfumeria, Cafeteria",Segueix suggeriments personalitzats,"5 consultes a cafeteries, 4 consultes a llibres, 2 consultes a botigues"
0183,Carlota Sáenz,49,F,Turisme,"Perfumeria, Moda",Accepta ofertes de menjar,4 consultes a llibres
0184,Cebrián Mayol,59,M,Negocis,Premsa i llibres,Accepta ofertes de menjar,"4 consultes a llibres, 3 consultes a botigues, 4 consultes a vehicles"
0185,Isaura Quirós,26,F,Altres,"Mediterrània, Productes naturals, Moda",Accepta ofertes de menjar,"5 consultes a cafeteries, 4 consultes a llibres, 3 consultes a restaurants"
0186,Anastasia Diez,52,F,Turisme,Premsa i llibres,Accepta ofertes de menjar,2 consultes a cafeteries
0187,Feliciana Espada,60,F,Família,"Cafeteria, Productes naturals, Premsa i llibres",Només consulta horaris i ubicacions,3 consultes a restaurants
0188,Mauricio Benito,20,M,Negocis,"Mediterrània, Productes naturals",Accepta ofertes de menjar,2 consultes a botigues
0189,Ibán Roca,63,M,Família,"Premsa i llibres, Cuina italiana, Perfumeria",Segueix suggeriments personalitzats,5 consultes a cafeteries
0190,Jonatan Barriga,57,M,Altres,"Perfumeria, Premsa i llibres, Cuina italiana",Segueix suggeriments personalitzats,"5 consultes a vehicles, 2 consultes a restaurants, 2 consultes a llibres"
0191,Saturnina Ponce,61,F,Negocis,Mediterrània,Segueix suggeriments personalitzats,"5 consultes a botigues, 1 consulta a vehicles, 1 consulta a llibres"
0192,Susanita Agustí,73,F,Turisme,Cuina ràpida,Segueix suggeriments personalitzats,"5 consultes a restaurants, 5 consultes a llibres"
0193,África Araujo,59,F,Família,Premsa i llibres,Respon a ofertes de llibres,"3 consultes a vehicles, 5 consultes a llibres, 3 consultes a botigues"
